county,donald,hilary,johnson,stein,mcmullin,state,fips
Weston County,2898,294,103,9,,WY,56045
Washakie County,2911,532,194,37,,WY,56043
Uinta County,6154,1202,472,79,,WY,56041
Teton County,2161,2157,161,27,327,WY,56039
Sweetwater County,12153,3233,928,152,,WY,56037
Sublette County,3409,644,169,28,,WY,56035
Sheridan County,644,286,729,12,,WY,56033
Platte County,24975,719,180,36,,WY,56031
Park County,6053,3521,625,151,70,WY,56029
Niobrara County,1116,115,49,7,,WY,56027
Natrona County,23523,6573,1787,310,,WY,56025
Lincoln County,5889,214,54,106,59,WY,56023
Laramie County,24844,11572,2656,434,,WY,56021
Johnson County,3477,638,102,33,44,WY,56019
Hot Springs County,1939,400,136,35,,WY,56017
Goshen County,4418,924,234,45,,WY,56015
Fremont County,4091,5275,127,233,132,WY,56013
Crook County,3347,271,118,11,,WY,56011
Converse County,5520,668,251,42,,WY,56009
Carbon County,4409,1279,302,265,593,WY,56007
Campbell County,25050,6597,1789,66,552,WY,56005
Big Horn County,1833,2061,250,70,,WY,56003
Albany County,7601,74775,4351,344,,WY,56001
Wood County,31734,14232,277,392,,WI,55141
Winnebago County,43447,52595,3820,34,49,WI,55139
Waushara County,7669,3802,314,93,,WI,55137
Waupaca County,16013,8303,793,237,,WI,55135
Waukesha County,145519,79199,8890,1674,,WI,55133
Washington County,33472,289,536,215,1390,WI,55131
Washburn County,5404,3283,267,74,,WI,55129
Walworth County,28848,18706,2116,612,,WI,55127
Vilas County,8169,4769,340,116,,WI,55125
Vernon County,6526,1706,447,296,,WI,55123
Trempealeau County,7370,5645,372,114,,WI,55121
Taylor County,6589,1295,45,67,12,WI,55119
Sheboygan County,32368,22636,2320,538,,WI,55117
Shawano County,12742,6056,603,160,,WI,55115
Sawyer County,4625,2846,188,78,,WI,55113
Sauk County,15871,16050,1208,472,,WI,55111
St. Croix County,26123,17496,2338,513,,WI,55109
Rusk County,4564,3935,333,51,,WI,55107
Rock County,687,70,32,885,97,WI,55105
Richland County,3885,1579,1586,76,2230,WI,55103
Racine County,46620,42506,3246,834,,WI,55101
Price County,4562,2671,199,83,,WI,55099
Portage County,17310,31463,1490,583,,WI,55097
Polk County,10435,7568,886,6,94,WI,55095
Pierce County,125964,8380,132,4809,,WI,55093
Pepin County,2228,1345,115,33,,WI,55091
Ozaukee County,30458,20167,2111,387,,WI,55089
