state,donald,hillary,johnson,stein,mcmullin,total,winner
AK,130415,93007,14593,4445,,242460,donald
AL,1306925,718084,43869,9287,,2078165,donald
AR,677904,378729,29518,9837,13069,1109057,donald
AZ,1021154,936250,80151,25255,,2062810,donald
CA,3184721,5931283,308392,166311,,9590707,hillary
CO,1137455,1212209,129451,33147,26779,2539041,hillary
CT,668266,884432,48051,22793,,1623542,hillary
DC,11553,260223,4501,3995,,280272,hillary
DE,185103,235581,14751,6100,,441535,hillary
FL,4605515,4485745,206007,64019,,9361286,donald
GA,2068623,1837300,123641,,,4029564,donald
HI,128815,266827,15949,12727,,424318,hillary
IA,798923,650790,57322,11119,12267,1530421,donald
ID,407199,189677,28256,8464,46538,680134,donald
IL,2118179,2977498,204491,74112,,5374280,hillary
IN,1556220,1031953,133856,,,2722029,donald
KS,656009,414788,53648,22698,,1147143,donald
KY,1202942,628834,53749,13913,22780,1922218,donald
LA,1178004,779535,37950,14018,8546,2018053,donald
MA,1083069,1964768,136784,46910,,3231531,hillary
MD,873646,1497951,71107,31839,,2474543,hillary
ME,334838,354873,37764,14075,,741550,hillary
MI,2279210,2267373,173021,50686,,4770290,donald
MN,1322891,1366676,112944,36957,53080,2892548,hillary
MO,1585753,1054889,96404,25086,,2762132,donald
MS,678457,462001,13789,3580,,1157827,donald
MT,274120,174521,27264,7669,,483574,donald
NC,2339603,2162074,127794,,,4629471,donald
ND,216133,93526,21351,3769,,334779,donald
NE,485819,273858,37615,8346,,805638,donald
NH,345598,348126,30530,6374,,730628,hillary
NJ,1535513,2021756,68695,35949,,3661913,hillary
NM,315875,380724,73669,9729,5714,785711,hillary
NV,511319,537753,37299,,,1086371,hillary
NY,2640570,4143874,161836,99895,,7046175,hillary
OH,2771984,2317001,168599,44310,,5301894,donald
OK,947934,419788,83334,,,1451056,donald
OR,742506,934631,86306,45132,,1808575,hillary
PA,2912941,2844705,142653,48912,,5949211,donald
RI,179421,249902,14643,6155,,450121,hillary
SC,1143611,849469,48715,12917,20795,2075507,donald
SD,227701,117442,20845,,,365988,donald
TN,1517402,867110,70084,15919,,2470515,donald
TX,4681590,3867816,282524,71307,,8903237,donald
UT,397004,237241,27735,6072,175301,843353,donald
VA,1731156,1916845,116600,27272,52914,3844787,hillary
VT,95053,178179,10047,6748,,290027,hilary
WA,1043648,1523720,131779,46016,,2745163,hillary
WI,1409467,1382210,106442,30980,,2929099,donald
WV,486198,187457,22798,8000,,704453,donald
WY,174248,55949,13285,2512,,245994,donald
