state,donald,hillary,johnson,stein,mcmullin,total,winner,donald_pct,hillary_pct,johnson_pct,stein_pct,mcmullin_pct
AK,130415,93007,14593,4445,,242460,donald,0.537882537325744,0.383597294399076,0.0601872473810113,0.0183329208941681,0
AL,1306925,718084,43869,9287,,2078165,donald,0.628884135764003,0.345537529503191,0.0211094884188695,0.00446884631393561,0
AR,677904,378729,29518,9837,13069,1109057,donald,0.611243606054513,0.341487407770746,0.0266154038971847,0.00886969740960113,0.0117838848679554
AZ,1021154,936250,80151,25255,,2062810,donald,0.495030565102942,0.453871175726315,0.0388552508471454,0.0122430083235974,0
CA,3184721,5931283,308392,166311,,9590707,hillary,0.332063214943382,0.618440642592877,0.0321552936608323,0.0173408488029089,0
CO,1137455,1212209,129451,33147,26779,2539041,hillary,0.447986070331279,0.477427895020206,0.0509842101801428,0.0130549290066604,0.0105468954617117
CT,668266,884432,48051,22793,,1623542,hillary,0.411609924473774,0.544754616757682,0.0295964009554419,0.0140390578131025,0
DC,11553,260223,4501,3995,,280272,hillary,0.0412206713478335,0.928465918821716,0.0160593994405435,0.0142540103899069,0
DE,185103,235581,14751,6100,,441535,hillary,0.419226108915488,0.53355000169862,0.0334084500662462,0.0138154393196462,0
FL,4605515,4485745,206007,64019,,9361286,donald,0.491974606907641,0.479180424569872,0.0220062713605802,0.00683869716190703,0
GA,2068623,1837300,123641,,,4029564,donald,0.513361495189058,0.455955036326511,0.0306834684844316,0,0
HI,128815,266827,15949,12727,,424318,hillary,0.303581276306921,0.628837334263453,0.0375873755061063,0.0299940139235196,0
IA,798923,650790,57322,11119,12267,1530421,donald,0.522028252356704,0.425235931812227,0.0374550532173827,0.00726532111098841,0.00801544150269762
ID,407199,189677,28256,8464,46538,680134,donald,0.598704078902099,0.278881808584779,0.0415447544160415,0.0124446065040124,0.0684247515930684
IL,2118179,2977498,204491,74112,,5374280,hillary,0.394132609391398,0.5540273301726,0.0380499341307115,0.0137901263052911,0
IN,1556220,1031953,133856,,,2722029,donald,0.571713233033153,0.379111684702845,0.0491750822640023,0,0
KS,656009,414788,53648,22698,,1147143,donald,0.571863316081779,0.361583516614755,0.0467666193316788,0.0197865479717873,0
